payment_id,order_id,payment_date,payment_status
100,100,2024-01-29,Paid
101,101,2024-02-13,Paid
102,102,2024-04-12,Paid
103,103,2024-10-13,Paid
104,104,2024-12-29,Refunded
105,105,2024-07-06,Refunded
106,106,2024-06-03,Paid
107,107,2024-11-25,Paid
108,108,2024-12-27,Paid
109,109,2024-08-28,Paid
110,110,2024-06-21,Paid
111,111,2024-05-13,Paid
112,112,2024-11-13,Paid
113,113,2024-01-08,Refunded
114,114,2024-04-10,Refunded
115,115,2024-05-16,Refunded
116,116,2024-04-15,Paid
117,117,2024-01-19,Refunded
118,118,2024-01-31,Paid
119,119,2024-05-20,Refunded
120,120,2024-03-19,Pending
121,121,2024-01-08,Pending
122,122,2024-11-07,Pending
123,123,2024-03-06,Paid
124,124,2024-04-28,Paid
125,125,2024-09-09,Refunded
126,126,2024-04-09,Refunded
127,127,2024-07-18,Pending
128,128,2024-10-02,Paid
129,129,2024-02-07,Refunded
130,130,2024-04-22,Paid
131,131,2024-10-30,Pending
132,132,2024-04-25,Paid
133,133,2024-06-21,Refunded
134,134,2024-07-16,Refunded
135,135,2024-07-20,Pending
136,136,2024-09-30,Refunded
137,137,2024-09-19,Paid
138,138,2024-05-26,Refunded
139,139,2024-09-30,Paid
140,140,2024-05-19,Pending
141,141,2024-09-17,Refunded
142,142,2024-06-30,Pending
143,143,2024-02-14,Pending
144,144,2024-07-09,Refunded
145,145,2024-02-18,Paid
146,146,2024-06-09,Refunded
147,147,2024-12-09,Pending
148,148,2024-09-16,Paid
149,149,2024-11-22,Pending
150,150,2024-04-26,Pending
151,151,2024-09-08,Pending
152,152,2024-08-28,Refunded
153,153,2024-02-12,Pending
154,154,2024-04-21,Paid
155,155,2024-12-13,Pending
156,156,2024-06-01,Refunded
157,157,2024-12-22,Refunded
158,158,2024-10-16,Pending
159,159,2024-10-07,Refunded
160,160,2024-11-09,Pending
161,161,2024-01-21,Pending
162,162,2024-05-27,Paid
163,163,2024-02-07,Refunded
164,164,2024-05-03,Pending
165,165,2024-05-12,Refunded
166,166,2024-07-05,Refunded
167,167,2024-01-09,Refunded
168,168,2024-04-05,Paid
169,169,2024-04-23,Pending
170,170,2024-12-29,Pending
171,171,2024-06-26,Refunded
172,172,2024-05-27,Refunded
173,173,2024-02-06,Pending
174,174,2024-02-17,Paid
175,175,2024-08-27,Pending
176,176,2024-09-27,Paid
177,177,2024-10-11,Pending
178,178,2024-01-23,Paid
179,179,2024-03-05,Refunded
180,180,2024-05-14,Refunded
181,181,2024-01-05,Pending
182,182,2024-07-16,Paid
183,183,2024-05-09,Paid
184,184,2024-07-11,Pending
185,185,2024-04-06,Pending
186,186,2024-01-24,Refunded
187,187,2024-04-04,Pending
188,188,2024-10-03,Pending
189,189,2024-10-09,Refunded
190,190,2024-09-04,Paid
191,191,2024-05-23,Pending
192,192,2024-03-24,Pending
193,193,2024-07-24,Refunded
194,194,2024-10-09,Paid
195,195,2024-10-26,Paid
196,196,2024-03-10,Refunded
197,197,2024-01-26,Paid
198,198,2024-10-30,Paid
199,199,2024-08-08,Pending
200,200,2024-09-15,Pending
201,201,2024-12-16,Pending
202,202,2024-05-20,Paid
203,203,2024-12-17,Pending
204,204,2024-01-18,Pending
205,205,2024-04-02,Paid
206,206,2024-05-04,Paid
207,207,2024-10-16,Refunded
208,208,2024-08-25,Paid
209,209,2024-09-17,Refunded
210,210,2024-05-09,Refunded
211,211,2024-08-17,Paid
212,212,2024-07-26,Paid
213,213,2024-02-03,Paid
214,214,2024-01-22,Paid
215,215,2024-01-25,Pending
216,216,2024-11-24,Paid
217,217,2024-08-03,Pending
218,218,2024-03-28,Pending
219,219,2024-05-22,Paid
220,220,2024-09-04,Refunded
221,221,2024-12-23,Refunded
222,222,2024-05-04,Paid
223,223,2024-05-31,Refunded
224,224,2024-09-25,Refunded
225,225,2024-07-19,Pending
226,226,2024-08-09,Pending
227,227,2024-06-18,Refunded
228,228,2024-05-19,Paid
229,229,2024-06-11,Paid
230,230,2024-08-17,Pending
231,231,2024-06-20,Refunded
232,232,2024-01-04,Refunded
233,233,2024-03-12,Refunded
234,234,2024-07-17,Paid
235,235,2024-09-25,Refunded
236,236,2024-08-31,Paid
237,237,2024-03-12,Refunded
238,238,2024-01-28,Paid
239,239,2024-12-21,Paid
240,240,2024-03-28,Pending
241,241,2024-07-22,Refunded
242,242,2024-05-27,Paid
243,243,2024-03-06,Refunded
244,244,2024-03-13,Paid
245,245,2024-02-26,Pending
246,246,2024-01-27,Refunded
247,247,2024-12-01,Pending
248,248,2024-08-26,Pending
249,249,2024-08-23,Refunded
250,250,2024-10-27,Refunded
251,251,2024-09-02,Paid
252,252,2024-09-25,Refunded
253,253,2024-11-14,Refunded
254,254,2024-06-23,Refunded
255,255,2024-11-20,Paid
256,256,2024-12-12,Paid
257,257,2024-10-14,Refunded
258,258,2024-11-09,Pending
259,259,2024-12-18,Refunded
260,260,2024-08-09,Refunded
261,261,2024-07-08,Paid
262,262,2024-01-13,Pending
263,263,2024-10-06,Pending
264,264,2024-03-28,Paid
265,265,2024-02-24,Paid
266,266,2024-01-16,Refunded
267,267,2024-09-04,Paid
268,268,2024-02-02,Refunded
269,269,2024-02-08,Refunded
270,270,2024-03-27,Refunded
271,271,2024-09-03,Pending
272,272,2024-06-05,Pending
273,273,2024-02-04,Pending
274,274,2024-09-23,Refunded
275,275,2024-05-14,Pending
276,276,2024-08-09,Refunded
277,277,2024-06-14,Pending
278,278,2024-01-20,Refunded
279,279,2024-05-18,Pending
280,280,2024-12-24,Pending
281,281,2024-10-19,Pending
282,282,2024-02-13,Paid
283,283,2024-03-22,Refunded
284,284,2024-05-29,Refunded
285,285,2024-01-20,Paid
286,286,2024-08-14,Paid
287,287,2024-07-05,Pending
288,288,2024-01-03,Paid
289,289,2024-12-02,Refunded
290,290,2024-01-10,Refunded
291,291,2024-11-13,Pending
292,292,2024-11-26,Pending
293,293,2024-08-14,Pending
294,294,2024-05-27,Pending
295,295,2024-11-17,Refunded
296,296,2024-01-23,Refunded
297,297,2024-10-20,Paid
298,298,2024-11-21,Paid
299,299,2024-12-19,Refunded
300,300,2024-08-15,Refunded
301,301,2024-03-26,Pending
302,302,2024-03-17,Refunded
303,303,2024-08-19,Refunded
304,304,2024-04-28,Refunded
305,305,2024-08-06,Refunded
306,306,2024-09-25,Refunded
307,307,2024-11-13,Refunded
308,308,2024-08-29,Refunded
309,309,2024-05-12,Paid
310,310,2024-03-15,Paid
311,311,2024-11-27,Refunded
312,312,2024-04-11,Refunded
313,313,2024-04-07,Refunded
314,314,2024-07-09,Refunded
315,315,2024-01-20,Paid
316,316,2024-07-03,Refunded
317,317,2024-12-30,Paid
318,318,2024-11-25,Paid
319,319,2024-12-12,Paid
320,320,2024-02-05,Paid
321,321,2024-06-20,Pending
322,322,2024-03-09,Paid
323,323,2024-01-17,Refunded
324,324,2024-12-02,Paid
325,325,2024-10-17,Paid
326,326,2024-12-13,Paid
327,327,2024-12-14,Pending
328,328,2024-10-24,Refunded
329,329,2024-10-08,Refunded
330,330,2024-04-17,Paid
331,331,2024-12-07,Refunded
332,332,2024-11-19,Refunded
333,333,2024-07-06,Refunded
334,334,2024-10-19,Refunded
335,335,2024-11-23,Pending
336,336,2024-08-13,Refunded
337,337,2024-01-23,Pending
338,338,2024-06-04,Pending
339,339,2024-02-27,Pending
340,340,2024-04-10,Pending
341,341,2024-11-05,Refunded
342,342,2024-06-03,Paid
343,343,2024-09-06,Paid
344,344,2024-05-20,Refunded
345,345,2024-01-16,Paid
346,346,2024-03-28,Paid
347,347,2024-01-24,Pending
348,348,2024-02-09,Paid
349,349,2024-01-29,Refunded
350,350,2024-11-26,Pending
351,351,2024-03-22,Pending
352,352,2024-04-24,Pending
353,353,2024-09-09,Paid
354,354,2024-03-16,Pending
355,355,2024-11-03,Refunded
356,356,2024-08-31,Refunded
357,357,2024-08-15,Refunded
358,358,2024-06-20,Pending
359,359,2024-09-09,Paid
360,360,2024-05-01,Pending
361,361,2024-11-09,Paid
362,362,2024-10-23,Paid
363,363,2024-10-01,Pending
364,364,2024-05-06,Pending
365,365,2024-03-08,Refunded
366,366,2024-09-19,Refunded
367,367,2024-01-21,Refunded
368,368,2024-09-12,Pending
369,369,2024-11-17,Paid
370,370,2024-12-29,Pending
371,371,2024-09-02,Paid
372,372,2024-02-04,Paid
373,373,2024-01-18,Refunded
374,374,2024-03-13,Refunded
375,375,2024-07-02,Paid
376,376,2024-01-15,Paid
377,377,2024-08-01,Refunded
378,378,2024-10-10,Refunded
379,379,2024-08-06,Refunded
380,380,2024-03-02,Paid
381,381,2024-07-12,Paid
382,382,2024-11-02,Refunded
383,383,2024-07-29,Pending
384,384,2024-09-08,Refunded
385,385,2024-08-02,Refunded
386,386,2024-07-13,Paid
387,387,2024-05-21,Refunded
388,388,2024-11-26,Paid
389,389,2024-01-31,Pending
390,390,2024-05-13,Paid
391,391,2024-03-04,Pending
392,392,2024-07-08,Paid
393,393,2024-11-24,Paid
394,394,2024-05-04,Pending
395,395,2024-06-26,Pending
396,396,2024-11-01,Refunded
397,397,2024-03-28,Paid
398,398,2024-02-14,Paid
399,399,2024-04-06,Pending
400,400,2024-11-19,Paid
401,401,2024-12-20,Pending
402,402,2024-10-28,Pending
403,403,2024-10-21,Pending
404,404,2024-03-26,Refunded
405,405,2024-03-09,Pending
406,406,2024-02-01,Paid
407,407,2024-11-23,Paid
408,408,2024-04-03,Refunded
409,409,2024-09-13,Paid
410,410,2024-01-14,Pending
411,411,2024-07-28,Pending
412,412,2024-11-06,Pending
413,413,2024-01-06,Paid
414,414,2024-11-01,Paid
415,415,2024-08-11,Refunded
416,416,2024-03-01,Refunded
417,417,2024-04-18,Pending
418,418,2024-04-15,Pending
419,419,2024-11-11,Refunded
420,420,2024-03-16,Pending
421,421,2024-01-09,Paid
422,422,2024-07-29,Refunded
423,423,2024-04-16,Paid
424,424,2024-08-20,Refunded
425,425,2024-04-03,Paid
426,426,2024-12-27,Paid
427,427,2024-10-08,Paid
428,428,2024-10-19,Paid
429,429,2024-11-15,Refunded
430,430,2024-01-29,Pending
431,431,2024-04-20,Paid
432,432,2024-07-23,Refunded
433,433,2024-06-11,Pending
434,434,2024-05-25,Refunded
435,435,2024-06-02,Pending
436,436,2024-05-19,Pending
437,437,2024-06-14,Pending
438,438,2024-02-19,Refunded
439,439,2024-09-26,Paid
440,440,2024-05-22,Refunded
441,441,2024-12-27,Refunded
442,442,2024-11-19,Pending
443,443,2024-05-04,Pending
444,444,2024-10-13,Pending
445,445,2024-03-12,Paid
446,446,2024-10-08,Refunded
447,447,2024-05-09,Refunded
448,448,2024-09-16,Refunded
449,449,2024-04-28,Refunded
450,450,2024-01-09,Paid
451,451,2024-06-15,Pending
452,452,2024-12-17,Paid
453,453,2024-04-10,Pending
454,454,2024-09-05,Paid
455,455,2024-10-06,Paid
456,456,2024-12-09,Refunded
457,457,2024-11-11,Refunded
458,458,2024-10-23,Pending
459,459,2024-09-10,Refunded
460,460,2024-10-20,Pending
461,461,2024-04-28,Pending
462,462,2024-10-28,Refunded
463,463,2024-06-03,Pending
464,464,2024-01-19,Pending
465,465,2024-08-16,Pending
466,466,2024-10-20,Paid
467,467,2024-02-03,Refunded
468,468,2024-02-05,Paid
469,469,2024-09-17,Paid
470,470,2024-10-29,Refunded
471,471,2024-01-25,Refunded
472,472,2024-05-01,Paid
473,473,2024-12-01,Paid
474,474,2024-05-14,Paid
475,475,2024-09-14,Refunded
476,476,2024-12-06,Refunded
477,477,2024-05-26,Refunded
478,478,2024-06-16,Paid
479,479,2024-06-29,Refunded
480,480,2024-10-22,Refunded
481,481,2024-05-16,Pending
482,482,2024-01-09,Pending
483,483,2024-05-29,Refunded
484,484,2024-09-03,Refunded
485,485,2024-12-29,Refunded
486,486,2024-06-16,Paid
487,487,2024-07-28,Refunded
488,488,2024-10-21,Refunded
489,489,2024-01-12,Paid
490,490,2024-02-25,Paid
491,491,2024-02-21,Paid
492,492,2024-01-24,Refunded
493,493,2024-04-11,Refunded
494,494,2024-02-19,Refunded
495,495,2024-02-24,Refunded
496,496,2024-06-28,Pending
497,497,2024-05-22,Pending
498,498,2024-01-23,Paid
499,499,2024-02-07,Paid
500,500,2024-05-13,Paid
501,501,2024-04-23,Refunded
502,502,2024-09-14,Paid
503,503,2024-09-20,Refunded
504,504,2024-08-30,Pending
505,505,2024-08-20,Pending
506,506,2024-05-13,Paid
507,507,2024-05-11,Paid
508,508,2024-11-01,Pending
509,509,2024-10-23,Refunded
510,510,2024-07-14,Refunded
511,511,2024-09-14,Refunded
512,512,2024-12-15,Pending
513,513,2024-12-05,Paid
514,514,2024-08-24,Paid
515,515,2024-05-15,Refunded
516,516,2024-04-14,Refunded
517,517,2024-06-14,Refunded
518,518,2024-02-04,Paid
519,519,2024-09-13,Refunded
520,520,2024-04-01,Paid
521,521,2024-04-18,Pending
522,522,2024-02-28,Refunded
523,523,2024-02-06,Paid
524,524,2024-06-23,Refunded
525,525,2024-09-20,Pending
526,526,2024-10-11,Paid
527,527,2024-01-05,Refunded
528,528,2024-01-08,Paid
529,529,2024-07-14,Paid
530,530,2024-09-14,Pending
531,531,2024-08-05,Refunded
532,532,2024-01-01,Paid
533,533,2024-05-06,Refunded
534,534,2024-02-23,Pending
535,535,2024-01-20,Pending
536,536,2024-06-03,Refunded
537,537,2024-05-29,Refunded
538,538,2024-01-07,Pending
539,539,2024-09-02,Refunded
540,540,2024-01-15,Pending
541,541,2024-07-03,Pending
542,542,2024-03-13,Refunded
543,543,2024-08-12,Paid
544,544,2024-01-11,Refunded
545,545,2024-08-26,Refunded
546,546,2024-06-04,Refunded
547,547,2024-03-29,Pending
548,548,2024-12-01,Pending
549,549,2024-03-17,Refunded
550,550,2024-11-27,Paid
551,551,2024-05-25,Paid
552,552,2024-02-05,Pending
553,553,2024-11-20,Paid
554,554,2024-05-01,Pending
555,555,2024-05-17,Pending
556,556,2024-03-01,Pending
557,557,2024-05-02,Pending
558,558,2024-06-12,Refunded
559,559,2024-09-19,Paid
560,560,2024-03-21,Paid
561,561,2024-03-28,Pending
562,562,2024-07-15,Paid
563,563,2024-01-17,Pending
564,564,2024-06-08,Refunded
565,565,2024-04-12,Paid
566,566,2024-11-07,Paid
567,567,2024-12-09,Paid
568,568,2024-05-08,Paid
569,569,2024-04-23,Paid
570,570,2024-11-04,Refunded
571,571,2024-12-29,Refunded
572,572,2024-07-28,Pending
573,573,2024-12-06,Paid
574,574,2024-07-25,Refunded
575,575,2024-01-03,Refunded
576,576,2024-09-13,Pending
577,577,2024-09-04,Pending
578,578,2024-10-03,Paid
579,579,2024-08-05,Paid
580,580,2024-08-19,Paid
581,581,2024-04-03,Paid
582,582,2024-12-13,Paid
583,583,2024-03-02,Refunded
584,584,2024-08-10,Paid
585,585,2024-01-16,Refunded
586,586,2024-09-10,Paid
587,587,2024-05-04,Pending
588,588,2024-07-31,Pending
589,589,2024-06-29,Pending
590,590,2024-02-06,Pending
591,591,2024-02-24,Refunded
592,592,2024-02-08,Refunded
593,593,2024-03-03,Pending
594,594,2024-03-14,Pending
595,595,2024-10-06,Refunded
596,596,2024-10-25,Refunded
597,597,2024-11-24,Pending
598,598,2024-09-01,Pending
599,599,2024-12-03,Paid
600,600,2024-08-04,Pending
601,601,2024-05-19,Pending
602,602,2024-07-14,Pending
603,603,2024-05-02,Pending
604,604,2024-12-27,Paid
605,605,2024-06-16,Paid
606,606,2024-11-08,Paid
607,607,2024-12-05,Refunded
608,608,2024-09-15,Paid
609,609,2024-06-16,Pending
610,610,2024-11-29,Paid
611,611,2024-02-15,Pending
612,612,2024-08-16,Paid
613,613,2024-11-10,Paid
614,614,2024-03-09,Paid
615,615,2024-11-24,Pending
616,616,2024-06-20,Pending
617,617,2024-05-06,Paid
618,618,2024-10-30,Refunded
619,619,2024-11-26,Refunded
620,620,2024-03-26,Pending
621,621,2024-03-25,Paid
622,622,2024-08-20,Paid
623,623,2024-07-23,Pending
624,624,2024-09-08,Pending
625,625,2024-09-26,Refunded
626,626,2024-09-09,Refunded
627,627,2024-05-03,Paid
628,628,2024-06-18,Pending
629,629,2024-08-22,Paid
630,630,2024-09-18,Paid
631,631,2024-11-30,Pending
632,632,2024-04-18,Refunded
633,633,2024-12-19,Paid
634,634,2024-11-11,Paid
635,635,2024-01-16,Refunded
636,636,2024-07-13,Paid
637,637,2024-12-15,Refunded
638,638,2024-08-17,Pending
639,639,2024-02-26,Pending
640,640,2024-04-02,Refunded
641,641,2024-10-20,Pending
642,642,2024-09-20,Paid
643,643,2024-10-14,Paid
644,644,2024-02-23,Refunded
645,645,2024-06-13,Paid
646,646,2024-12-27,Refunded
647,647,2024-02-01,Paid
648,648,2024-10-15,Paid
649,649,2024-03-18,Pending
650,650,2024-01-04,Refunded
651,651,2024-08-27,Pending
652,652,2024-05-25,Pending
653,653,2024-04-24,Paid
654,654,2024-07-28,Refunded
655,655,2024-05-15,Paid
656,656,2024-03-30,Refunded
657,657,2024-04-18,Pending
658,658,2024-09-07,Refunded
659,659,2024-03-16,Pending
660,660,2024-03-18,Paid
661,661,2024-09-08,Refunded
662,662,2024-07-14,Paid
663,663,2024-05-22,Pending
664,664,2024-04-10,Paid
665,665,2024-12-20,Refunded
666,666,2024-12-12,Refunded
667,667,2024-05-20,Pending
668,668,2024-02-11,Refunded
669,669,2024-04-27,Paid
670,670,2024-12-09,Refunded
671,671,2024-07-26,Refunded
672,672,2024-12-24,Pending
673,673,2024-02-17,Paid
674,674,2024-02-16,Pending
675,675,2024-11-13,Paid
676,676,2024-01-15,Refunded
677,677,2024-03-07,Refunded
678,678,2024-09-12,Refunded
679,679,2024-03-03,Pending
680,680,2024-07-18,Refunded
681,681,2024-12-13,Paid
682,682,2024-06-21,Refunded
683,683,2024-06-08,Refunded
684,684,2024-07-12,Refunded
685,685,2024-11-26,Refunded
686,686,2024-11-05,Refunded
687,687,2024-08-14,Paid
688,688,2024-03-21,Paid
689,689,2024-07-01,Pending
690,690,2024-07-29,Pending
691,691,2024-08-25,Paid
692,692,2024-08-25,Pending
693,693,2024-03-22,Refunded
694,694,2024-12-02,Pending
695,695,2024-02-28,Refunded
696,696,2024-09-07,Paid
697,697,2024-05-08,Paid
698,698,2024-01-25,Pending
699,699,2024-02-16,Pending
700,700,2024-02-14,Refunded
701,701,2024-03-22,Pending
702,702,2024-11-19,Paid
703,703,2024-09-21,Pending
704,704,2024-09-12,Refunded
705,705,2024-09-24,Pending
706,706,2024-05-14,Pending
707,707,2024-08-27,Pending
708,708,2024-11-22,Pending
709,709,2024-11-09,Paid
710,710,2024-04-13,Paid
711,711,2024-01-03,Paid
712,712,2024-05-11,Pending
713,713,2024-03-16,Paid
714,714,2024-09-05,Paid
715,715,2024-07-11,Pending
716,716,2024-11-08,Pending
717,717,2024-07-04,Pending
718,718,2024-04-03,Paid
719,719,2024-06-29,Pending
720,720,2024-05-30,Pending
721,721,2024-06-03,Pending
722,722,2024-05-06,Refunded
723,723,2024-05-29,Paid
724,724,2024-08-21,Paid
725,725,2024-12-24,Pending
726,726,2024-03-26,Paid
727,727,2024-02-02,Paid
728,728,2024-01-21,Paid
729,729,2024-05-23,Refunded
730,730,2024-06-29,Paid
731,731,2024-04-20,Paid
732,732,2024-04-11,Refunded
733,733,2024-07-18,Pending
734,734,2024-05-09,Pending
735,735,2024-06-14,Pending
736,736,2024-01-23,Pending
737,737,2024-10-08,Refunded
738,738,2024-06-24,Paid
739,739,2024-09-06,Refunded
740,740,2024-10-10,Pending
741,741,2024-07-06,Refunded
742,742,2024-09-22,Pending
743,743,2024-03-16,Refunded
744,744,2024-04-23,Pending
745,745,2024-02-01,Paid
746,746,2024-12-14,Refunded
747,747,2024-11-26,Pending
748,748,2024-06-26,Pending
749,749,2024-02-15,Pending
750,750,2024-02-12,Paid
751,751,2024-07-24,Refunded
752,752,2024-01-23,Pending
753,753,2024-05-27,Paid
754,754,2024-02-03,Refunded
755,755,2024-02-09,Refunded
756,756,2024-12-04,Refunded
757,757,2024-09-14,Refunded
758,758,2024-03-13,Paid
759,759,2024-09-17,Paid
760,760,2024-10-07,Pending
761,761,2024-07-17,Refunded
762,762,2024-12-01,Paid
763,763,2024-01-20,Paid
764,764,2024-11-22,Pending
765,765,2024-07-15,Paid
766,766,2024-12-08,Refunded
767,767,2024-03-03,Refunded
768,768,2024-05-30,Paid
769,769,2024-07-13,Refunded
770,770,2024-05-21,Refunded
771,771,2024-05-13,Pending
772,772,2024-09-11,Pending
773,773,2024-07-20,Pending
774,774,2024-04-04,Refunded
775,775,2024-06-06,Paid
776,776,2024-08-08,Refunded
777,777,2024-09-24,Refunded
778,778,2024-05-17,Refunded
779,779,2024-06-25,Refunded
780,780,2024-10-14,Pending
781,781,2024-04-07,Paid
782,782,2024-03-29,Paid
783,783,2024-10-25,Pending
784,784,2024-10-29,Paid
785,785,2024-05-16,Paid
786,786,2024-07-28,Pending
787,787,2024-06-12,Paid
788,788,2024-05-12,Paid
789,789,2024-03-10,Paid
790,790,2024-08-23,Pending
791,791,2024-07-30,Paid
792,792,2024-06-07,Refunded
793,793,2024-12-09,Paid
794,794,2024-03-13,Paid
795,795,2024-07-05,Paid
796,796,2024-12-01,Pending
797,797,2024-01-12,Refunded
798,798,2024-07-28,Paid
799,799,2024-07-05,Paid
800,800,2024-10-16,Pending
801,801,2024-08-24,Refunded
802,802,2024-03-30,Pending
803,803,2024-05-31,Pending
804,804,2024-03-30,Paid
805,805,2024-04-27,Paid
806,806,2024-04-14,Pending
807,807,2024-01-19,Paid
808,808,2024-05-08,Pending
809,809,2024-12-01,Pending
810,810,2024-02-19,Paid
811,811,2024-06-18,Refunded
812,812,2024-08-27,Paid
813,813,2024-11-09,Refunded
814,814,2024-04-20,Paid
815,815,2024-12-05,Refunded
816,816,2024-11-10,Paid
817,817,2024-01-12,Paid
818,818,2024-11-26,Pending
819,819,2024-12-29,Refunded
820,820,2024-01-07,Pending
821,821,2024-08-31,Paid
822,822,2024-03-31,Paid
823,823,2024-05-23,Pending
824,824,2024-06-11,Refunded
825,825,2024-11-04,Paid
826,826,2024-02-19,Pending
827,827,2024-09-27,Refunded
828,828,2024-02-24,Paid
829,829,2024-03-08,Paid
830,830,2024-09-12,Refunded
831,831,2024-01-29,Paid
832,832,2024-08-19,Refunded
833,833,2024-02-16,Pending
834,834,2024-09-30,Pending
835,835,2024-04-09,Refunded
836,836,2024-04-12,Refunded
837,837,2024-12-04,Pending
838,838,2024-08-13,Paid
839,839,2024-06-28,Paid
840,840,2024-08-08,Refunded
841,841,2024-07-08,Pending
842,842,2024-08-12,Pending
843,843,2024-05-16,Pending
844,844,2024-03-13,Pending
845,845,2024-10-27,Pending
846,846,2024-07-15,Paid
847,847,2024-10-21,Paid
848,848,2024-08-20,Paid
849,849,2024-01-15,Pending
850,850,2024-09-08,Pending
851,851,2024-02-17,Paid
852,852,2024-06-04,Paid
853,853,2024-07-13,Pending
854,854,2024-09-13,Paid
855,855,2024-01-02,Pending
856,856,2024-03-06,Paid
857,857,2024-01-24,Pending
858,858,2024-04-27,Paid
859,859,2024-07-07,Pending
860,860,2024-02-16,Paid
861,861,2024-11-04,Refunded
862,862,2024-01-24,Paid
863,863,2024-10-20,Refunded
864,864,2024-07-12,Refunded
865,865,2024-12-14,Refunded
866,866,2024-12-03,Pending
867,867,2024-04-11,Pending
868,868,2024-04-25,Refunded
869,869,2024-07-18,Refunded
870,870,2024-10-19,Pending
871,871,2024-09-28,Pending
872,872,2024-08-01,Refunded
873,873,2024-11-27,Refunded
874,874,2024-09-25,Paid
875,875,2024-08-17,Pending
876,876,2024-11-20,Refunded
877,877,2024-06-21,Paid
878,878,2024-11-13,Paid
879,879,2024-11-21,Paid
880,880,2024-12-02,Paid
881,881,2024-08-29,Refunded
882,882,2024-12-12,Pending
883,883,2024-12-19,Refunded
884,884,2024-11-07,Pending
885,885,2024-09-06,Paid
886,886,2024-05-11,Pending
887,887,2024-03-20,Pending
888,888,2024-08-16,Pending
889,889,2024-07-16,Paid
890,890,2024-11-06,Pending
891,891,2024-03-31,Refunded
892,892,2024-09-23,Refunded
893,893,2024-07-16,Paid
894,894,2024-11-04,Refunded
895,895,2024-06-02,Pending
896,896,2024-04-22,Refunded
897,897,2024-09-05,Refunded
898,898,2024-03-05,Paid
899,899,2024-06-26,Pending
900,900,2024-06-23,Refunded
901,901,2024-07-09,Refunded
902,902,2024-05-07,Pending
903,903,2024-02-17,Pending
904,904,2024-07-17,Paid
905,905,2024-07-29,Pending
906,906,2024-07-01,Paid
907,907,2024-03-27,Refunded
908,908,2024-10-02,Pending
909,909,2024-10-12,Refunded
910,910,2024-08-06,Pending
