Shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
57,57,2024-09-01,,Delhivery,Delivered
58,58,2024-08-30,,Ecom Express,In Transit
59,59,2024-06-24,2024-07-02,DTDC,Returned
60,60,2024-05-27,2024-06-01,Ecom Express,Returned
61,61,2024-05-31,,BlueDart,Delivered
62,62,2024-09-10,,Delhivery,Returned
63,63,2024-12-18,,Ecom Express,Delivered
64,64,2024-10-26,2024-11-04,BlueDart,Returned
65,65,2024-10-15,,Delhivery,In Transit
66,66,2024-10-27,,BlueDart,In Transit
67,67,2024-11-15,,Ecom Express,Delivered
68,68,2024-12-13,2024-12-21,BlueDart,Delivered
69,69,2024-04-25,,Ecom Express,Returned
70,70,2024-01-14,2024-01-17,Ecom Express,In Transit
71,71,2024-03-20,,Delhivery,In Transit
72,72,2024-02-25,,Ecom Express,In Transit
73,73,2024-04-29,,Ecom Express,In Transit
74,74,2024-07-21,,Delhivery,In Transit
75,75,2024-01-13,,Delhivery,Delivered
76,76,2024-09-01,,Ecom Express,In Transit
77,77,2024-02-02,,BlueDart,Delivered
78,78,2024-10-13,,Ecom Express,Returned
79,79,2024-04-21,,DTDC,Delivered
80,80,2024-05-13,,Delhivery,In Transit
81,81,2024-12-16,,DTDC,Delivered
82,82,2024-02-16,2024-02-24,Ecom Express,Delivered
83,83,2024-06-04,2024-06-09,DTDC,Returned
84,84,2024-10-04,2024-10-10,Delhivery,In Transit
85,85,2024-06-15,,DTDC,Delivered
86,86,2024-11-04,,Ecom Express,Delivered
87,87,2024-10-15,,Delhivery,In Transit
88,88,2024-01-03,2024-01-06,BlueDart,Returned
89,89,2024-07-13,2024-07-23,DTDC,In Transit
90,90,2024-07-03,2024-07-13,Ecom Express,Returned
91,91,2024-03-09,,Delhivery,Returned
92,92,2024-07-12,,Delhivery,Returned
93,93,2024-04-20,,Ecom Express,Delivered
94,94,2024-02-08,2024-02-18,BlueDart,Returned
95,95,2024-01-25,,Ecom Express,Returned
96,96,2024-09-28,,Ecom Express,Returned
97,97,2024-06-29,,BlueDart,In Transit
98,98,2024-04-30,,BlueDart,In Transit
99,99,2024-07-16,,BlueDart,Returned
100,100,2024-05-31,2024-06-05,Delhivery,Returned
101,101,2024-09-28,,DTDC,Returned
102,102,2024-01-22,2024-01-27,Delhivery,Returned
103,103,2024-06-08,,BlueDart,In Transit
104,104,2024-10-02,,DTDC,Returned
105,105,2024-07-12,,Ecom Express,In Transit
106,106,2024-10-08,,Delhivery,Returned
107,107,2024-03-23,2024-03-28,BlueDart,In Transit
108,108,2024-06-03,,BlueDart,Returned
109,109,2024-11-01,,Ecom Express,Returned
110,110,2024-01-20,2024-01-25,Delhivery,Returned
111,111,2024-12-21,,Delhivery,Returned
112,112,2024-07-27,2024-07-31,Ecom Express,Delivered
113,113,2024-08-31,,BlueDart,In Transit
114,114,2024-01-09,,BlueDart,In Transit
115,115,2024-08-19,,Ecom Express,Delivered
116,116,2024-06-28,,Ecom Express,In Transit
117,117,2024-03-23,,DTDC,Returned
118,118,2024-02-09,,DTDC,Delivered
119,119,2024-11-15,,Ecom Express,In Transit
120,120,2024-07-03,2024-07-09,DTDC,Delivered
121,121,2024-07-18,,Ecom Express,Delivered
122,122,2024-04-17,2024-04-24,DTDC,In Transit
123,123,2024-05-13,,BlueDart,In Transit
124,124,2024-01-11,,BlueDart,In Transit
125,125,2024-03-03,2024-03-07,BlueDart,In Transit
126,126,2024-01-09,,Delhivery,Delivered
127,127,2024-07-03,,Delhivery,Returned
128,128,2024-08-06,,Delhivery,Returned
129,129,2024-10-30,,Delhivery,Delivered
130,130,2024-05-23,2024-05-28,DTDC,Delivered
131,131,2024-02-29,,BlueDart,In Transit
132,132,2024-02-18,,Ecom Express,In Transit
133,133,2024-08-27,2024-08-30,BlueDart,In Transit
134,134,2024-06-10,,Ecom Express,Delivered
135,135,2024-12-28,,Delhivery,In Transit
136,136,2024-02-21,,Delhivery,In Transit
137,137,2024-10-02,2024-10-12,Ecom Express,Returned
138,138,2024-08-31,,Ecom Express,Delivered
139,139,2024-04-12,2024-04-19,Ecom Express,Returned
140,140,2024-09-15,,DTDC,In Transit
141,141,2024-03-31,2024-04-06,Ecom Express,Returned
142,142,2024-10-27,,BlueDart,In Transit
143,143,2024-09-17,,Ecom Express,Returned
144,144,2024-07-29,2024-08-07,Delhivery,Delivered
145,145,2024-12-15,,DTDC,In Transit
146,146,2024-08-18,,BlueDart,Delivered
147,147,2024-03-15,,DTDC,Returned
148,148,2024-07-31,,BlueDart,In Transit
149,149,2024-01-06,,Ecom Express,In Transit
150,150,2024-06-02,,Delhivery,Delivered
151,151,2024-05-30,2024-06-08,DTDC,In Transit
152,152,2024-11-11,,Delhivery,Delivered
153,153,2024-09-05,2024-09-12,Delhivery,In Transit
154,154,2024-01-06,,BlueDart,Delivered
155,155,2024-07-09,,Ecom Express,Returned
156,156,2024-01-20,,DTDC,Delivered
157,157,2024-10-13,2024-10-16,BlueDart,In Transit
158,158,2024-08-23,,DTDC,Returned
159,159,2024-07-19,,BlueDart,In Transit
160,160,2024-10-16,,Delhivery,In Transit
161,161,2024-03-04,,Delhivery,Returned
162,162,2024-10-15,,BlueDart,Returned
163,163,2024-12-14,,Ecom Express,Returned
164,164,2024-01-07,,Delhivery,Delivered
165,165,2024-04-04,,Delhivery,In Transit
166,166,2024-03-14,,BlueDart,In Transit
167,167,2024-07-01,2024-07-04,DTDC,Delivered
168,168,2024-12-16,,BlueDart,Returned
169,169,2024-06-21,,Ecom Express,Returned
170,170,2024-01-19,,Ecom Express,Returned
171,171,2024-07-08,,Ecom Express,Delivered
172,172,2024-08-01,,Ecom Express,Delivered
173,173,2024-03-04,2024-03-07,DTDC,In Transit
174,174,2024-05-03,,Ecom Express,Returned
175,175,2024-04-17,,BlueDart,Returned
176,176,2024-10-31,,Delhivery,Returned
177,177,2024-08-02,,DTDC,Delivered
178,178,2024-01-30,2024-02-09,BlueDart,Returned
179,179,2024-12-18,,Ecom Express,In Transit
180,180,2024-04-15,2024-04-22,DTDC,Delivered
181,181,2024-04-15,,BlueDart,Delivered
182,182,2024-11-14,2024-11-21,DTDC,Returned
183,183,2024-02-13,,BlueDart,Delivered
184,184,2024-08-24,,BlueDart,Delivered
185,185,2024-08-29,,BlueDart,Returned
186,186,2024-02-17,,Delhivery,Returned
187,187,2024-11-22,,BlueDart,In Transit
188,188,2024-10-10,,Ecom Express,In Transit
189,189,2024-11-28,2024-12-08,Delhivery,In Transit
190,190,2024-11-20,,BlueDart,In Transit
191,191,2024-03-02,,Delhivery,Delivered
192,192,2024-06-27,2024-07-07,BlueDart,Delivered
193,193,2024-09-06,2024-09-12,Ecom Express,Delivered
194,194,2024-01-04,,BlueDart,Delivered
195,195,2024-01-09,,BlueDart,In Transit
196,196,2024-07-23,,Ecom Express,Returned
197,197,2024-11-27,,BlueDart,Returned
198,198,2024-08-23,2024-09-02,DTDC,Returned
199,199,2024-08-24,,Delhivery,Returned
200,200,2024-01-10,,Delhivery,Returned
201,201,2024-02-15,,DTDC,Delivered
202,202,2024-04-23,2024-04-28,Delhivery,In Transit
203,203,2024-02-17,,Delhivery,Returned
204,204,2024-10-14,,Ecom Express,In Transit
205,205,2024-08-18,,Ecom Express,In Transit
206,206,2024-01-20,,Delhivery,Delivered
207,207,2024-02-02,,DTDC,Returned
208,208,2024-07-16,,BlueDart,Delivered
209,209,2024-06-15,2024-06-23,BlueDart,Delivered
210,210,2024-08-05,,DTDC,In Transit
211,211,2024-07-05,,DTDC,Returned
212,212,2024-07-29,2024-08-04,DTDC,In Transit
213,213,2024-12-13,2024-12-16,BlueDart,In Transit
214,214,2024-12-20,2024-12-25,Ecom Express,Delivered
215,215,2024-03-18,,Delhivery,Delivered
216,216,2024-09-08,,Delhivery,In Transit
217,217,2024-06-23,,DTDC,In Transit
218,218,2024-05-11,2024-05-17,Delhivery,Returned
219,219,2024-05-23,,Delhivery,In Transit
220,220,2024-03-02,,Delhivery,In Transit
221,221,2024-05-30,,Delhivery,Returned
222,222,2024-11-14,,Ecom Express,Returned
223,223,2024-11-04,,Ecom Express,In Transit
224,224,2024-08-23,,Delhivery,In Transit
225,225,2024-02-29,2024-03-07,Delhivery,In Transit
226,226,2024-09-08,,Ecom Express,In Transit
227,227,2024-11-30,,Delhivery,Delivered
228,228,2024-12-03,,DTDC,Returned
229,229,2024-09-20,,DTDC,Delivered
230,230,2024-07-27,,DTDC,In Transit
231,231,2024-02-23,,Delhivery,In Transit
232,232,2024-08-13,,Delhivery,Returned
233,233,2024-02-29,2024-03-10,DTDC,Returned
234,234,2024-07-14,,DTDC,Returned
235,235,2024-06-14,,Delhivery,In Transit
236,236,2024-07-02,,BlueDart,Delivered
237,237,2024-09-30,,DTDC,Delivered
238,238,2024-03-24,,Delhivery,Returned
239,239,2024-12-18,,DTDC,In Transit
240,240,2024-10-28,,Delhivery,Returned
241,241,2024-04-11,2024-04-18,Delhivery,Delivered
242,242,2024-01-14,,Ecom Express,Returned
243,243,2024-12-27,,DTDC,Returned
244,244,2024-02-19,,DTDC,Returned
245,245,2024-03-17,,DTDC,In Transit
246,246,2024-11-28,,BlueDart,Delivered
247,247,2024-06-06,,Delhivery,Returned
248,248,2024-01-25,,Delhivery,Returned
249,249,2024-06-12,,Ecom Express,In Transit
250,250,2024-11-20,,BlueDart,In Transit
251,251,2024-09-20,,DTDC,Delivered
252,252,2024-04-20,,BlueDart,Returned
253,253,2024-08-25,2024-08-28,Ecom Express,Delivered
254,254,2024-06-23,2024-06-30,Ecom Express,Delivered
255,255,2024-07-29,,DTDC,In Transit
256,256,2024-01-09,2024-01-18,Ecom Express,Returned
257,257,2024-09-04,,Delhivery,Delivered
258,258,2024-01-31,,BlueDart,Returned
259,259,2024-02-10,2024-02-13,DTDC,Returned
260,260,2024-06-19,,BlueDart,Delivered
261,261,2024-08-30,,DTDC,In Transit
262,262,2024-07-05,,Ecom Express,Returned
263,263,2024-06-13,2024-06-17,BlueDart,Returned
264,264,2024-09-20,2024-09-26,Ecom Express,Delivered
265,265,2024-04-25,,BlueDart,In Transit
266,266,2024-01-27,,BlueDart,In Transit
267,267,2024-09-06,,Delhivery,In Transit
268,268,2024-09-28,,DTDC,In Transit
269,269,2024-03-02,,Ecom Express,Returned
270,270,2024-06-02,,BlueDart,Delivered
271,271,2024-04-10,,Ecom Express,Returned
272,272,2024-04-07,,DTDC,In Transit
273,273,2024-05-27,,BlueDart,Returned
274,274,2024-01-08,,DTDC,In Transit
275,275,2024-05-10,,Delhivery,In Transit
276,276,2024-02-20,,DTDC,Delivered
277,277,2024-04-09,,BlueDart,Returned
278,278,2024-04-01,2024-04-07,Delhivery,In Transit
279,279,2024-05-29,,Ecom Express,Delivered
280,280,2024-10-15,,BlueDart,Returned
281,281,2024-07-21,2024-07-31,Ecom Express,Returned
282,282,2024-05-05,,BlueDart,Returned
283,283,2024-05-25,,Ecom Express,In Transit
284,284,2024-02-13,,Ecom Express,Delivered
285,285,2024-02-13,,Ecom Express,Returned
286,286,2024-02-08,,Delhivery,Returned
287,287,2024-09-10,2024-09-13,DTDC,In Transit
288,288,2024-07-29,,Delhivery,Delivered
289,289,2024-06-23,2024-06-30,DTDC,In Transit
290,290,2024-03-24,,DTDC,Returned
291,291,2024-03-03,2024-03-07,Ecom Express,Returned
292,292,2024-04-25,,Delhivery,In Transit
293,293,2024-11-09,,Delhivery,Returned
294,294,2024-11-06,,BlueDart,Delivered
295,295,2024-07-24,,DTDC,In Transit
296,296,2024-07-06,,Delhivery,Delivered
297,297,2024-04-07,,DTDC,Returned
298,298,2024-01-17,,Delhivery,Returned
299,299,2024-12-02,,Delhivery,Delivered
300,300,2024-03-03,,BlueDart,Delivered
301,301,2024-03-17,,Ecom Express,Returned
302,302,2024-07-13,,DTDC,Delivered
303,303,2024-06-14,2024-06-19,Delhivery,Returned
304,304,2024-04-09,,BlueDart,Delivered
305,305,2024-04-22,,Ecom Express,In Transit
306,306,2024-10-24,2024-10-31,Ecom Express,In Transit
307,307,2024-05-16,2024-05-23,Delhivery,Delivered
308,308,2024-10-16,2024-10-25,BlueDart,Delivered
309,309,2024-03-18,,Delhivery,In Transit
310,310,2024-07-12,2024-07-21,DTDC,Delivered
311,311,2024-11-19,,Ecom Express,Delivered
312,312,2024-07-10,,BlueDart,Delivered
313,313,2024-08-06,2024-08-10,Delhivery,Returned
314,314,2024-01-11,2024-01-16,Ecom Express,Returned
315,315,2024-11-19,2024-11-27,BlueDart,Delivered
316,316,2024-09-21,,BlueDart,In Transit
317,317,2024-10-29,,BlueDart,In Transit
318,318,2024-06-16,2024-06-20,Delhivery,Returned
319,319,2024-03-10,,Ecom Express,In Transit
320,320,2024-06-23,,DTDC,Returned
321,321,2024-03-27,2024-03-30,DTDC,Delivered
322,322,2024-10-25,,Delhivery,Returned
323,323,2024-03-22,2024-03-28,Delhivery,In Transit
324,324,2024-03-12,,Ecom Express,In Transit
325,325,2024-02-27,2024-03-01,DTDC,In Transit
326,326,2024-11-05,2024-11-10,DTDC,Returned
327,327,2024-08-27,2024-09-01,DTDC,Delivered
328,328,2024-08-17,,BlueDart,Delivered
329,329,2024-04-29,,DTDC,In Transit
330,330,2024-04-17,2024-04-23,Delhivery,In Transit
331,331,2024-04-05,,DTDC,Delivered
332,332,2024-03-28,2024-04-03,BlueDart,Delivered
333,333,2024-10-09,,Ecom Express,Delivered
334,334,2024-01-14,,Ecom Express,Delivered
335,335,2024-01-17,,BlueDart,In Transit
336,336,2024-04-11,2024-04-14,DTDC,Delivered
337,337,2024-02-14,,BlueDart,In Transit
338,338,2024-03-02,2024-03-08,BlueDart,In Transit
339,339,2024-10-26,,DTDC,Returned
340,340,2024-05-09,,BlueDart,In Transit
341,341,2024-02-05,,BlueDart,Delivered
342,342,2024-03-14,2024-03-24,BlueDart,In Transit
343,343,2024-11-23,,DTDC,Returned
344,344,2024-09-01,2024-09-10,Ecom Express,Returned
345,345,2024-11-20,2024-11-28,Delhivery,Returned
346,346,2024-03-28,2024-04-03,Ecom Express,In Transit
347,347,2024-07-07,,BlueDart,In Transit
348,348,2024-08-04,,Ecom Express,Delivered
349,349,2024-11-17,,DTDC,Returned
350,350,2024-02-27,,Delhivery,Delivered
351,351,2024-10-09,,Delhivery,Returned
352,352,2024-09-25,,BlueDart,Delivered
353,353,2024-01-06,,Delhivery,In Transit
354,354,2024-08-14,2024-08-23,Delhivery,Returned
355,355,2024-06-15,2024-06-20,BlueDart,In Transit
356,356,2024-10-13,2024-10-22,BlueDart,In Transit
357,357,2024-12-18,2024-12-28,Ecom Express,Delivered
358,358,2024-04-03,2024-04-11,DTDC,Delivered
359,359,2024-01-23,,DTDC,In Transit
360,360,2024-03-16,2024-03-21,DTDC,Returned
361,361,2024-09-17,,DTDC,Delivered
362,362,2024-06-15,,Delhivery,Returned
363,363,2024-12-20,2024-12-25,DTDC,In Transit
364,364,2024-04-26,,Delhivery,In Transit
365,365,2024-11-19,,BlueDart,In Transit
366,366,2024-05-27,,Ecom Express,Returned
367,367,2024-04-10,2024-04-13,BlueDart,In Transit
368,368,2024-10-22,,Ecom Express,In Transit
369,369,2024-05-03,2024-05-12,DTDC,Returned
370,370,2024-10-19,,Delhivery,Returned
371,371,2024-08-03,2024-08-07,DTDC,In Transit
372,372,2024-12-16,2024-12-21,Ecom Express,Returned
373,373,2024-05-13,,Delhivery,Returned
374,374,2024-07-06,,Delhivery,Delivered
375,375,2024-08-04,2024-08-12,Delhivery,Delivered
376,376,2024-10-15,,Delhivery,Delivered
377,377,2024-04-20,,Delhivery,Returned
378,378,2024-04-29,,BlueDart,In Transit
379,379,2024-08-03,2024-08-06,DTDC,Returned
380,380,2024-05-21,2024-05-27,DTDC,Delivered
381,381,2024-02-10,,DTDC,Delivered
382,382,2024-03-12,,BlueDart,Delivered
383,383,2024-11-28,,Ecom Express,Delivered
384,384,2024-11-20,,Delhivery,Returned
385,385,2024-07-03,,DTDC,In Transit
386,386,2024-05-19,,Delhivery,Returned
387,387,2024-06-22,,DTDC,Returned
388,388,2024-04-08,,Ecom Express,Returned
389,389,2024-09-18,,BlueDart,Delivered
390,390,2024-04-15,,BlueDart,Delivered
391,391,2024-01-19,,Ecom Express,Delivered
392,392,2024-12-22,,DTDC,In Transit
393,393,2024-05-24,,Ecom Express,In Transit
394,394,2024-01-25,,Delhivery,Returned
395,395,2024-06-10,,Delhivery,Delivered
396,396,2024-10-21,,BlueDart,In Transit
397,397,2024-05-30,,BlueDart,In Transit
398,398,2024-01-13,,Ecom Express,Returned
399,399,2024-04-26,,Delhivery,Returned
400,400,2024-01-02,,Ecom Express,Returned
401,401,2024-01-12,2024-01-18,Ecom Express,Delivered
402,402,2024-08-02,2024-08-10,BlueDart,In Transit
403,403,2024-11-03,,BlueDart,Delivered
404,404,2024-03-12,2024-03-16,DTDC,Delivered
405,405,2024-07-02,,BlueDart,In Transit
406,406,2024-09-10,,BlueDart,In Transit
407,407,2024-01-17,,BlueDart,Returned
408,408,2024-05-20,,BlueDart,Delivered
409,409,2024-03-30,,DTDC,Delivered
410,410,2024-09-19,2024-09-27,Ecom Express,Delivered
411,411,2024-12-17,,Delhivery,Delivered
412,412,2024-03-01,,Delhivery,Delivered
413,413,2024-02-14,,Ecom Express,In Transit
414,414,2024-08-10,2024-08-17,BlueDart,In Transit
415,415,2024-11-17,,Ecom Express,Delivered
416,416,2024-04-10,,Ecom Express,Returned
417,417,2024-01-06,,Ecom Express,Returned
418,418,2024-10-26,,Delhivery,Delivered
419,419,2024-05-07,,Delhivery,Delivered
420,420,2024-02-10,,DTDC,In Transit
421,421,2024-11-09,,Ecom Express,In Transit
422,422,2024-02-19,,Delhivery,In Transit
423,423,2024-11-03,,Delhivery,Delivered
424,424,2024-03-18,,BlueDart,Delivered
425,425,2024-09-28,,Ecom Express,Delivered
426,426,2024-06-21,,Ecom Express,In Transit
427,427,2024-06-01,2024-06-09,Delhivery,Delivered
428,428,2024-02-07,,DTDC,Returned
429,429,2024-11-22,2024-11-28,DTDC,Delivered
430,430,2024-06-30,2024-07-07,BlueDart,In Transit
431,431,2024-01-18,,Delhivery,Delivered
432,432,2024-07-04,,Delhivery,In Transit
433,433,2024-07-07,,DTDC,Returned
434,434,2024-07-30,,Ecom Express,In Transit
435,435,2024-08-22,,DTDC,In Transit
436,436,2024-01-31,,BlueDart,Returned
437,437,2024-11-08,,DTDC,Returned
438,438,2024-07-09,,DTDC,Returned
439,439,2024-05-01,,Ecom Express,Returned
440,440,2024-07-20,,Delhivery,In Transit
441,441,2024-10-22,,BlueDart,In Transit
442,442,2024-12-13,,Ecom Express,In Transit
443,443,2024-07-28,,Ecom Express,Returned
444,444,2024-03-10,2024-03-16,BlueDart,Returned
445,445,2024-03-05,2024-03-14,BlueDart,Returned
446,446,2024-05-14,,DTDC,In Transit
447,447,2024-12-22,,Ecom Express,Returned
448,448,2024-03-12,,BlueDart,In Transit
449,449,2024-07-26,2024-07-30,Delhivery,In Transit
450,450,2024-03-27,,DTDC,Delivered
451,451,2024-08-04,2024-08-09,BlueDart,Returned
452,452,2024-11-24,,Ecom Express,In Transit
453,453,2024-06-06,,DTDC,Delivered
454,454,2024-08-02,,Ecom Express,Returned
455,455,2024-08-21,,BlueDart,In Transit
456,456,2024-02-27,,Delhivery,Delivered
457,457,2024-01-10,2024-01-20,DTDC,Returned
458,458,2024-04-29,2024-05-07,BlueDart,Delivered
459,459,2024-05-25,,Ecom Express,In Transit
460,460,2024-08-19,,BlueDart,Returned
461,461,2024-11-06,,BlueDart,Delivered
462,462,2024-07-02,2024-07-10,Ecom Express,In Transit
463,463,2024-05-24,,Delhivery,Returned
464,464,2024-03-11,,DTDC,Returned
465,465,2024-09-22,,Ecom Express,In Transit
466,466,2024-04-03,,Delhivery,Delivered
467,467,2024-06-24,,Ecom Express,In Transit
468,468,2024-09-26,,Delhivery,Returned
469,469,2024-04-11,2024-04-17,Delhivery,Delivered
470,470,2024-11-18,,DTDC,Delivered
471,471,2024-05-01,,Ecom Express,Delivered
472,472,2024-12-06,2024-12-13,Ecom Express,Delivered
473,473,2024-10-14,,Ecom Express,Delivered
474,474,2024-10-19,,DTDC,In Transit
475,475,2024-09-06,,Delhivery,Delivered
476,476,2024-05-12,,BlueDart,Returned
477,477,2024-03-06,,BlueDart,Returned
478,478,2024-05-14,2024-05-22,DTDC,Delivered
479,479,2024-09-12,,BlueDart,Delivered
480,480,2024-05-05,2024-05-13,DTDC,In Transit
481,481,2024-05-31,,Delhivery,In Transit
482,482,2024-01-15,,DTDC,In Transit
483,483,2024-12-01,2024-12-09,BlueDart,In Transit
484,484,2024-07-17,2024-07-26,Delhivery,In Transit
485,485,2024-11-15,,BlueDart,Delivered
486,486,2024-04-14,,DTDC,Delivered
487,487,2024-07-22,,Delhivery,In Transit
488,488,2024-01-21,2024-01-28,DTDC,In Transit
489,489,2024-07-01,,Ecom Express,In Transit
490,490,2024-10-23,,Delhivery,Returned
491,491,2024-10-08,2024-10-15,BlueDart,Delivered
492,492,2024-03-15,2024-03-18,Ecom Express,In Transit
493,493,2024-08-29,,DTDC,In Transit
494,494,2024-10-01,,Delhivery,Delivered
495,495,2024-02-02,2024-02-12,Delhivery,In Transit
496,496,2024-12-19,,Delhivery,In Transit
497,497,2024-03-30,2024-04-06,Ecom Express,In Transit
498,498,2024-02-05,,DTDC,Delivered
499,499,2024-06-17,,BlueDart,In Transit
500,500,2024-04-09,,BlueDart,Returned
501,501,2024-02-21,,BlueDart,Delivered
502,502,2024-06-28,,Delhivery,In Transit
503,503,2024-06-22,,BlueDart,Delivered
504,504,2024-01-30,,Ecom Express,Returned
505,505,2024-03-25,2024-03-28,Delhivery,Returned
506,506,2024-11-19,,DTDC,Returned
507,507,2024-01-04,,Ecom Express,Delivered
508,508,2024-09-21,,Delhivery,Delivered
509,509,2024-10-14,2024-10-21,Ecom Express,Returned
510,510,2024-02-13,,Ecom Express,In Transit
511,511,2024-09-10,,DTDC,In Transit
512,512,2024-06-23,,Delhivery,Delivered
513,513,2024-08-20,,DTDC,In Transit
514,514,2024-08-10,,BlueDart,In Transit
515,515,2024-09-12,,Ecom Express,Delivered
516,516,2024-11-27,,DTDC,In Transit
517,517,2024-02-08,,Delhivery,Delivered
518,518,2024-10-20,,BlueDart,In Transit
519,519,2024-05-16,2024-05-20,DTDC,Delivered
520,520,2024-01-11,,Delhivery,Returned
521,521,2024-08-26,2024-09-03,Ecom Express,Returned
522,522,2024-07-20,,Ecom Express,In Transit
523,523,2024-12-29,,DTDC,Delivered
524,524,2024-05-03,,Delhivery,In Transit
525,525,2024-01-16,,BlueDart,Delivered
526,526,2024-03-02,,Ecom Express,Delivered
527,527,2024-01-24,2024-01-27,BlueDart,Returned
528,528,2024-06-28,2024-07-04,Delhivery,Returned
529,529,2024-02-13,,DTDC,Returned
530,530,2024-09-09,,BlueDart,In Transit
531,531,2024-02-04,2024-02-09,BlueDart,Returned
532,532,2024-07-31,,Ecom Express,Delivered
533,533,2024-01-10,,BlueDart,In Transit
534,534,2024-09-21,,Delhivery,In Transit
535,535,2024-10-21,2024-10-29,Ecom Express,In Transit
536,536,2024-05-23,,BlueDart,In Transit
537,537,2024-10-08,2024-10-12,BlueDart,Returned
538,538,2024-11-29,,Delhivery,In Transit
539,539,2024-09-12,2024-09-18,BlueDart,Returned
540,540,2024-07-13,,Ecom Express,Returned
541,541,2024-09-09,,Ecom Express,Returned
542,542,2024-07-08,,Delhivery,Returned
543,543,2024-07-18,,DTDC,Delivered
544,544,2024-01-08,,Ecom Express,In Transit
545,545,2024-04-17,2024-04-23,BlueDart,Returned
546,546,2024-04-18,,BlueDart,Returned
547,547,2024-02-02,,Ecom Express,In Transit
548,548,2024-02-29,,Ecom Express,In Transit
549,549,2024-06-29,,Delhivery,Delivered
550,550,2024-12-25,,Delhivery,Delivered
551,551,2024-12-06,,DTDC,In Transit
552,552,2024-03-06,,Ecom Express,Delivered
553,553,2024-01-13,,Delhivery,Delivered
554,554,2024-11-13,,DTDC,Delivered
555,555,2024-08-06,,DTDC,Returned
556,556,2024-03-16,2024-03-21,Ecom Express,Delivered
557,557,2024-03-30,,DTDC,Delivered
558,558,2024-10-15,,BlueDart,Returned
559,559,2024-10-25,2024-10-30,DTDC,Returned
560,560,2024-01-16,2024-01-24,Delhivery,Returned
561,561,2024-04-30,,BlueDart,Returned
562,562,2024-01-02,,Ecom Express,In Transit
563,563,2024-05-03,2024-05-07,DTDC,Returned
564,564,2024-10-15,2024-10-19,Delhivery,Delivered
565,565,2024-05-22,,BlueDart,Delivered
566,566,2024-03-03,,Ecom Express,Returned
567,567,2024-08-28,2024-09-07,DTDC,Delivered
568,568,2024-06-06,,BlueDart,Delivered
569,569,2024-01-31,,BlueDart,Delivered
570,570,2024-12-07,,DTDC,Delivered
571,571,2024-01-18,2024-01-22,BlueDart,Returned
572,572,2024-03-06,,Delhivery,In Transit
573,573,2024-08-25,,DTDC,In Transit
574,574,2024-01-30,,Delhivery,Delivered
